HR (bpm),HRV (ms),GSR (µS),SpO2 (%),Stress Level (1-5)
94,27,5.35,96,3
89,33,4.59,95,3
81,32,4.95,95,3
82,33,4.71,95,3
91,27,4.77,96,3
91,25,5.26,95,3
87,25,4.85,96,3
83,28,5.48,96,3
86,26,4.7,96,3
94,27,5.05,96,3
85,31,5.6,96,3
84,31,5.12,95,3
84,30,5.69,95,3
89,31,4.71,95,3
84,25,4.99,96,3
81,29,4.8,95,3
92,28,5.06,95,3
91,29,5.77,95,3
84,34,4.69,96,3
83,26,5.21,95,3
92,28,5.79,96,3
84,34,5.84,95,3
80,32,4.97,95,3
81,25,5.76,96,3
91,32,5.19,95,3
86,26,5.08,96,3
87,25,5.42,96,3
86,32,5.82,95,3
91,25,5.16,96,3
92,32,4.63,95,3
80,27,4.61,96,3
80,29,5.26,96,3
89,28,5.02,95,3
82,31,5.68,95,3
90,34,4.65,96,3
85,32,4.9,96,3
94,25,4.94,96,3
87,33,5.96,95,3
81,27,4.68,96,3
83,33,5.47,96,3
86,26,4.98,96,3
91,32,4.67,95,3
84,26,4.69,95,3
80,32,5.4,95,3
88,32,5.15,96,3
89,33,4.75,96,3
93,28,4.68,96,3
82,25,5.47,95,3
89,31,5.82,96,3
88,26,5.45,96,3
84,32,5.62,96,3
86,31,5.48,95,3
85,30,5.98,96,3
91,26,4.66,95,3
94,28,5.73,95,3
94,27,4.73,96,3
92,30,5.31,95,3
80,32,5.42,96,3
82,31,5.53,95,3
91,33,5.64,95,3
87,34,5.34,96,3
80,29,5.82,96,3
87,27,5.1,96,3
81,33,5.33,96,3
93,31,5.42,96,3
88,33,5.33,96,3
89,34,5.76,96,3
80,33,5.94,95,3
83,27,5.76,96,3
87,27,5.99,96,3
94,28,5.58,96,3
85,27,4.71,96,3
84,30,5.54,95,3
89,30,4.75,96,3
88,28,5.1,95,3
83,27,4.6,96,3
89,31,5.55,96,3
93,32,5.51,96,3
82,27,5.25,96,3
82,30,5.54,96,3
93,34,5.56,95,3
83,27,5.16,96,3
93,31,5.6,95,3
81,28,4.59,96,3
90,33,5.9,95,3
80,25,5.46,96,3
94,30,5.99,96,3
90,31,5.36,96,3
84,33,5.35,96,3
81,27,4.54,95,3
93,30,4.91,95,3
90,27,5.91,96,3
82,34,5.81,95,3
84,28,5.7,96,3
84,28,4.7,96,3
93,31,5.86,95,3
80,32,5.59,96,3
88,30,4.84,96,3
91,33,5.63,96,3
88,28,4.52,96,3
91,34,4.92,96,3
86,27,4.91,96,3
87,34,4.91,96,3
94,34,5.77,96,3
91,33,5.23,96,3
90,28,5.43,95,3
88,29,5.3,95,3
90,31,4.63,95,3
81,32,5.32,96,3
94,31,5.09,96,3
91,32,4.89,95,3
84,34,5.97,95,3
82,31,4.8,96,3
80,27,4.96,95,3
91,33,4.77,95,3
81,29,4.84,96,3
88,31,5.53,95,3
80,32,4.67,96,3
91,34,5.31,95,3
85,25,5.32,96,3
93,30,5.77,96,3
84,29,5.92,96,3
88,26,4.65,96,3
82,31,5.32,96,3
94,32,4.67,95,3
89,27,4.58,95,3
80,31,5.81,96,3
94,28,5.64,96,3
94,32,4.69,95,3
85,28,5.81,95,3
92,33,5.34,96,3
89,25,4.54,95,3
87,27,5.86,95,3
89,28,5.7,95,3
83,31,5.73,96,3
90,27,5.16,95,3
87,34,4.64,96,3
91,33,5.37,95,3
97,21,6.96,94,4
105,22,6.78,93,4
101,16,6.48,94,4
102,17,7.35,94,4
97,20,6.21,92,4
97,19,7.1,94,4
94,18,7.2,93,4
108,23,7.21,93,4
105,15,6.63,94,4
102,16,6.25,93,4
94,23,6.14,92,4
109,16,6.31,93,4
94,17,6.28,92,4
98,18,7.38,93,4
108,23,6.71,94,4
101,23,6.54,93,4
92,24,6.37,93,4
90,19,6.63,93,4
98,17,6.68,93,4
100,23,6.65,93,4
106,19,7.21,93,4
104,17,6.05,92,4
105,16,6.49,94,4
96,20,7.28,92,4
97,21,6.42,94,4
92,18,7.3,94,4
95,19,6.05,92,4
103,18,7.41,92,4
96,23,7.18,92,4
104,16,6.98,93,4
91,22,6.57,93,4
93,19,6.82,94,4
108,18,6.03,93,4
95,21,6.19,92,4
108,17,7.24,94,4
98,18,7.47,93,4
98,21,6.8,94,4
104,18,6.17,93,4
93,22,6.39,92,4
90,22,6.43,93,4
100,19,6.45,94,4
103,23,6.07,93,4
98,20,7.34,94,4
105,15,6.43,94,4
100,16,6.86,92,4
94,18,6.33,92,4
98,23,7.0,92,4
91,22,7.43,92,4
104,22,6.48,93,4
104,23,6.51,92,4
97,19,6.95,92,4
108,18,7.01,93,4
101,17,6.98,93,4
91,21,7.48,94,4
95,20,7.34,93,4
106,20,6.07,94,4
99,15,6.68,92,4
106,17,6.29,94,4
105,18,6.31,92,4
95,15,6.01,93,4
97,18,6.16,93,4
96,19,6.66,93,4
99,20,7.4,92,4
94,15,6.93,92,4
108,21,6.86,94,4
102,17,6.68,94,4
103,15,6.58,94,4
101,22,7.36,92,4
102,15,7.24,94,4
94,22,7.29,93,4
102,21,6.06,93,4
107,16,7.0,92,4
93,16,6.14,94,4
97,18,7.35,93,4
108,23,7.41,94,4
98,24,6.54,94,4
102,24,6.75,94,4
98,23,6.23,94,4
109,20,6.18,93,4
95,17,6.8,93,4
106,23,6.63,94,4
100,15,6.13,94,4
94,19,7.21,94,4
95,19,7.04,93,4
93,17,6.12,92,4
95,24,6.89,93,4
92,17,7.29,94,4
98,21,6.48,93,4
93,15,6.79,93,4
94,21,6.21,92,4
90,18,6.51,93,4
107,17,6.51,94,4
100,15,6.15,92,4
97,16,7.26,93,4
90,18,6.25,93,4
94,22,7.47,94,4
100,18,6.15,93,4
100,24,6.59,93,4
104,19,6.43,92,4
94,24,6.56,94,4
95,18,7.49,92,4
106,18,6.05,93,4
93,19,6.23,92,4
102,16,6.25,92,4
108,17,6.45,92,4
108,24,6.09,93,4
101,19,7.45,94,4
93,17,6.25,94,4
92,16,6.73,94,4
106,17,7.32,93,4
108,19,7.1,92,4
106,19,6.81,94,4
91,20,6.8,93,4
100,21,6.19,92,4
109,23,7.32,93,4
106,17,6.69,93,4
93,20,6.78,93,4
104,23,6.54,92,4
108,19,7.47,93,4
108,18,7.21,94,4
105,23,6.09,92,4
106,15,7.27,94,4
95,17,6.67,92,4
104,21,6.03,93,4
100,17,7.04,93,4
105,16,6.5,94,4
104,17,7.5,93,4
106,22,6.44,94,4
92,15,6.51,92,4
90,19,6.01,92,4
98,15,7.27,93,4
97,21,6.73,93,4
103,18,6.61,93,4
100,17,6.82,93,4
102,16,6.01,94,4
95,16,6.12,94,4
91,24,6.36,93,4
91,16,7.07,94,4
91,21,6.6,94,4
103,22,6.61,94,4
96,19,7.26,92,4
98,19,6.05,94,4
108,23,7.14,94,4
106,21,6.75,93,4
99,24,7.23,93,4
109,18,7.02,93,4
107,18,6.45,94,4
93,21,7.08,94,4
103,16,6.2,93,4
100,23,7.12,94,4
106,24,7.17,93,4
95,15,6.09,93,4
97,23,6.51,92,4
100,23,6.54,94,4
98,16,6.47,93,4
104,17,6.65,92,4
95,22,7.45,92,4
106,24,6.06,92,4
90,23,7.06,93,4
104,21,6.38,94,4
102,19,7.45,94,4
106,18,7.05,93,4
98,19,6.71,94,4
101,19,6.07,92,4
105,21,6.75,92,4
92,16,6.95,94,4
101,23,6.08,92,4
102,16,6.83,94,4
91,23,6.99,94,4
90,18,7.02,92,4
102,16,6.59,94,4
93,16,7.11,93,4
101,19,7.02,93,4
90,18,6.13,94,4
92,23,7.23,93,4
99,19,6.4,92,4
99,19,7.37,93,4
106,18,7.42,94,4
92,20,6.8,93,4
109,22,7.09,92,4
93,24,6.78,93,4
90,18,6.68,94,4
106,22,6.2,94,4
99,23,6.18,93,4
96,19,6.51,94,4
96,18,6.96,94,4
93,21,7.32,94,4
98,22,7.17,92,4
97,20,6.23,94,4
98,16,6.9,92,4
104,21,7.01,93,4
97,23,6.36,93,4
100,20,6.55,94,4
101,21,6.21,93,4
99,17,6.22,92,4
97,22,7.36,94,4
100,15,6.52,93,4
104,23,7.03,93,4
106,16,6.01,92,4
100,22,6.2,93,4
110,12,8.26,91,5
117,11,8.18,88,5
110,11,8.05,89,5
117,12,7.67,88,5
112,13,8.4,91,5
105,10,8.48,88,5
106,12,7.89,91,5
110,10,7.7,90,5
116,12,8.48,88,5
116,12,7.96,89,5
107,11,8.48,91,5
116,12,8.23,88,5
106,10,8.46,88,5
106,11,8.26,88,5
114,13,7.75,88,5
115,10,7.66,91,5
106,14,8.0,88,5
109,11,8.28,91,5
116,11,8.3,88,5
112,11,7.82,89,5
111,12,7.75,90,5
113,14,7.98,88,5
117,11,8.4,89,5
112,12,8.45,88,5
113,14,7.98,90,5
108,13,8.25,90,5
107,10,7.94,89,5
118,10,8.29,91,5
117,13,8.07,89,5
108,10,7.74,89,5
114,14,8.47,90,5
114,12,7.72,88,5
109,11,8.46,89,5
106,14,7.72,91,5
109,12,8.06,88,5
107,13,8.26,90,5
117,13,7.93,90,5
111,11,8.39,88,5
118,13,8.32,91,5
119,11,7.7,88,5
112,10,7.8,91,5
111,13,8.14,90,5
108,11,8.44,88,5
105,12,7.6,90,5
112,14,8.23,88,5
112,11,8.32,89,5
113,10,8.04,91,5
108,14,7.54,89,5
109,10,7.5,88,5
116,14,8.22,91,5
111,14,7.8,90,5
107,13,8.47,89,5
107,13,8.24,88,5
117,11,7.8,89,5
109,10,7.75,90,5
118,10,7.87,90,5
119,13,8.48,91,5
110,14,8.04,91,5
105,12,7.91,89,5
114,12,7.77,89,5
113,10,8.45,89,5
110,10,7.86,91,5
108,10,7.63,88,5
110,10,8.01,88,5
107,13,8.47,90,5
112,11,8.2,91,5
111,12,8.3,90,5
111,11,8.23,89,5
113,10,7.53,88,5
117,10,7.85,89,5
108,13,7.66,88,5
119,10,8.23,90,5
117,10,7.81,89,5
119,13,8.29,91,5
108,11,7.52,90,5
108,12,7.51,89,5
105,11,7.94,91,5
112,12,8.0,89,5
113,10,8.47,90,5
109,10,7.81,91,5
110,14,8.46,89,5
107,12,7.9,90,5
115,11,8.31,90,5
108,13,7.79,91,5
110,12,8.0,91,5
111,12,8.35,90,5
107,12,7.51,91,5
112,13,7.69,91,5
118,14,7.81,90,5
116,10,8.43,88,5
113,13,7.9,89,5
112,12,7.86,89,5
113,12,8.18,90,5
106,13,8.48,91,5
110,12,8.29,88,5
112,13,7.78,89,5
119,11,8.41,91,5
114,14,8.48,89,5
110,11,7.61,89,5
113,14,7.69,91,5
113,10,7.85,91,5
111,12,8.11,89,5
113,12,7.77,91,5
112,11,8.19,89,5
115,12,7.58,89,5
108,12,7.93,91,5
116,12,8.12,90,5
106,14,7.52,90,5
110,12,8.18,88,5
110,10,8.03,90,5
116,11,8.37,88,5
107,11,7.95,88,5
119,12,8.24,91,5
109,12,8.27,91,5
106,10,7.55,88,5
105,14,8.08,88,5
113,13,8.44,89,5
108,10,8.34,89,5
110,10,8.0,90,5
110,11,7.59,90,5
109,10,7.93,90,5
108,14,8.01,90,5
114,12,8.09,88,5
115,10,8.17,89,5
108,14,7.59,88,5
109,13,7.51,90,5
105,10,7.52,90,5
106,12,7.96,90,5
118,11,8.1,91,5
106,11,8.38,90,5
107,13,8.43,88,5
112,12,8.12,88,5
111,12,8.02,90,5
118,11,7.93,88,5
110,12,8.04,88,5
116,13,8.42,88,5
113,11,8.29,88,5
106,14,8.37,90,5
116,11,8.0,89,5
116,12,8.44,91,5
106,11,8.0,91,5
115,11,7.52,91,5
110,14,7.97,91,5
108,13,7.61,90,5
107,11,7.91,89,5
110,14,7.66,88,5
105,11,8.44,89,5
111,12,8.31,91,5
107,12,8.31,88,5
108,13,7.75,91,5
114,10,7.86,90,5
114,13,8.37,88,5
111,14,7.83,89,5
105,11,7.77,91,5
105,10,7.6,88,5
110,12,8.33,90,5
110,10,8.36,89,5
111,10,7.84,91,5
107,10,7.51,88,5
117,14,7.91,91,5
118,13,7.73,90,5
117,10,8.24,88,5
106,14,8.23,89,5
118,10,7.85,89,5
115,11,8.38,89,5
114,13,8.08,89,5
113,11,8.11,89,5
111,12,7.84,89,5
116,12,8.06,90,5
105,10,8.04,89,5
112,11,7.67,89,5
106,12,8.05,88,5
106,14,8.03,88,5
105,14,7.62,88,5
111,11,8.01,88,5
109,11,8.4,90,5
114,10,8.45,88,5
105,10,8.36,90,5
117,12,8.06,88,5
115,11,7.75,88,5
110,13,8.2,91,5
105,14,8.32,91,5
113,12,7.63,89,5
113,14,7.68,89,5
113,14,7.98,90,5
109,10,8.3,90,5
106,13,7.68,91,5
108,13,8.05,88,5
117,11,7.88,88,5
110,13,8.5,90,5
114,14,7.95,90,5
110,12,8.21,91,5
115,13,8.22,89,5
119,12,8.43,89,5
115,11,8.16,88,5
113,13,8.13,89,5
117,10,8.08,88,5
114,11,8.28,88,5
118,11,8.26,90,5
109,12,8.12,88,5
